symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,"2018-08-06
00:00:00+00:00",209.07,209.25,207.07,208.00,25425387,49.94655,49.989551,49.468752,49.690928,101701548,0.00,1.0
AAPL,"2018-08-07
00:00:00+00:00",207.11,209.5,206.76,209.32,25587387,49.478308,50.049276,49.394694,50.006274,102349548,0.00,1.0
AAPL,"2018-08-08
00:00:00+00:00",207.81,207.81,204.52,206.05,22525487,49.511754,49.645537,48.859561,49.225076,90101948,0.00,1.0
AAPL,"2018-08-09
00:00:00+00:00",208.88,209.78,207.28,207.28,23492626,49.901159,50.116168,49.499809,49.518921,93970504,0.00,1.0
AAPL,"2018-08-10
00:00:00+00:00",207.53,209.1,207.36,207.36,24611202,49.753042,50.129432,49.546866,49.712286,98444808,0.73,1.0
